                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.0243,                0.61133,                0.84308,                0.96798,                      1,                0.99375,                0.79758,                 0.8359,                0.62977,                0.82749,             0.00071375,             0.00071375,             0.00071375
                    133,                  0.976,                0.55402,                0.85963,                0.96798,                      1,                0.99375,                0.79758,                 0.8359,                0.62977,                0.82749,             0.00070962,             0.00070962,             0.00070962
                    134,                 1.0058,                0.62202,                0.88879,                0.96798,                      1,                0.99375,                0.79758,                 0.8359,                0.62977,                0.82749,              0.0007055,              0.0007055,              0.0007055
                    135,                0.96184,                0.60757,                0.85471,                0.96798,                      1,                0.99375,                0.79758,                 0.8359,                0.62977,                0.82749,             0.00070137,             0.00070137,             0.00070137
                    136,                0.93772,                0.57324,                0.83096,                0.96361,                      1,                0.99375,                0.81517,                0.84192,                0.56309,                0.82576,             0.00069725,             0.00069725,             0.00069725
                    137,                0.90015,                0.52273,                0.85257,                0.96361,                      1,                0.99375,                0.81517,                0.84192,                0.56309,                0.82576,             0.00069313,             0.00069313,             0.00069313
                    138,                0.91639,                0.49384,                 0.8467,                0.96361,                      1,                0.99375,                0.81517,                0.84192,                0.56309,                0.82576,               0.000689,               0.000689,               0.000689
                    139,                0.98184,                0.54921,                0.82211,                0.96361,                      1,                0.99375,                0.81517,                0.84192,                0.56309,                0.82576,             0.00068488,             0.00068488,             0.00068488
                    140,                0.90679,                0.55591,                0.81801,                 0.9714,                0.97778,                0.99375,                0.81816,                0.83022,                0.51875,                0.82481,             0.00068075,             0.00068075,             0.00068075
                    141,                0.90862,                0.50746,                0.83595,                 0.9714,                0.97778,                0.99375,                0.81816,                0.83022,                0.51875,                0.82481,             0.00067663,             0.00067663,             0.00067663
                    142,                0.88987,                0.50148,                0.84201,                 0.9714,                0.97778,                0.99375,                0.81816,                0.83022,                0.51875,                0.82481,              0.0006725,              0.0006725,              0.0006725
                    143,                 0.9236,                0.54093,                0.84097,                 0.9714,                0.97778,                0.99375,                0.81816,                0.83022,                0.51875,                0.82481,             0.00066838,             0.00066838,             0.00066838
                    144,                0.90326,                0.53865,                0.85789,                0.97034,                0.97778,                0.99375,                0.79842,                0.91803,                0.53598,                0.83757,             0.00066425,             0.00066425,             0.00066425
                    145,                0.85023,                0.50677,                0.85517,                0.97034,                0.97778,                0.99375,                0.79842,                0.91803,                0.53598,                0.83757,             0.00066013,             0.00066013,             0.00066013
                    146,                0.95267,                 0.5653,                0.83821,                0.97034,                0.97778,                0.99375,                0.79842,                0.91803,                0.53598,                0.83757,               0.000656,               0.000656,               0.000656
                    147,                  0.867,                0.55309,                0.83348,                0.97034,                0.97778,                0.99375,                0.79842,                0.91803,                0.53598,                0.83757,             0.00065188,             0.00065188,             0.00065188
                    148,                0.91182,                0.58155,                0.82476,                0.97252,                0.97778,                0.99375,                0.76796,                 1.0643,                 0.5731,                0.85872,             0.00064775,             0.00064775,             0.00064775
                    149,                 1.0781,                0.60131,                0.84988,                0.97252,                0.97778,                0.99375,                0.76796,                 1.0643,                 0.5731,                0.85872,             0.00064362,             0.00064362,             0.00064362
                    150,                0.93638,                0.54202,                0.87335,                0.97252,                0.97778,                0.99375,                0.76796,                 1.0643,                 0.5731,                0.85872,              0.0006395,              0.0006395,              0.0006395
                    151,                 0.9541,                0.56039,                0.86289,                0.97252,                0.97778,                0.99375,                0.76796,                 1.0643,                 0.5731,                0.85872,             0.00063538,             0.00063538,             0.00063538
                    152,                 1.0559,                0.58527,                0.85619,                0.97061,                0.97778,                0.99375,                0.77432,                 1.0385,                0.55885,                0.85364,             0.00063125,             0.00063125,             0.00063125
